mcscore,scscore,processor,frequency,maximumfrequency,cores,threads,tdp,gpu,codename,package
4847,1389,Intel Core i7-11370H,3300 MHz,4800 MHz,4,8,,Intel Iris Xe Graphics,Tiger Lake,FCBGA1449
10778,1379,Intel Core i9-10900KF,3700 MHz,5300 MHz,10,20,125 W,,Comet Lake,Socket 1200 LGA
4468,1371,Intel Core i7-1165G7,2800 MHz,4700 MHz,4,8,,Intel Iris Xe Graphics,Tiger Lake,FCBGA1449
9149,1367,Intel Core i9-9900KS,4000 MHz,5000 MHz,8,16,127 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
10467,1360,Intel Core i9-10850K,3600 MHz,5200 MHz,10,20,125 W,Intel UHD Graphics 630,Comet Lake,Socket 1200 LGA
8999,1342,AMD Ryzen 7 3800XT,3900 MHz,4700 MHz,8,16,105 W,,Matisse,Socket AM4 (1331)
8848,1336,Intel Core i7-10700K,3800 MHz,5100 MHz,8,16,125 W,Intel UHD Graphics 630,Comet Lake,Socket 1200 LGA
7073,1332,AMD Ryzen 7 5800H,3200 MHz,4400 MHz,8,16,45 W,,Cezanne,Socket FP6
9574,1324,Intel Core i9-10910,3600 MHz,5000 MHz,10,20,125 W, Intel UHD Graphics 630,Comet Lake,Socket 1200 LGA
5626,1323,Intel Core i5-11400H,2700 MHz,4500 MHz,6,12,45 W,Intel UHD Graphics,Tiger Lake,Socket 1787 FCBGA
9500,1321,Intel Core i9-10900F,2800 MHz,5200 MHz,10,20,65 W,,Comet Lake,Socket 1200 LGA
8605,1319,Intel Core i7-10700KF,3800 MHz,5100 MHz,8,16,125 W,,Comet Lake,Socket 1200 LGA
11935,1318,AMD Ryzen 9 3900XT,3800 MHz,4700 MHz,12,24,105 W,,Matisse,Socket AM4 (1331)
8592,1316,Intel Core i9-9900KF,3600 MHz,5000 MHz,8,16,95 W,,Coffee Lake,Socket 1151 LGA
9243,1315,Intel Core i9-10900,2800 MHz,5200 MHz,10,20,65 W,Intel UHD Graphics 630,Comet Lake,Socket 1200 LGA
8531,1308,Intel Core i9-9900K,3600 MHz,5000 MHz,8,16,95 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
6915,1307,Intel Core i5-10600K,4100 MHz,4800 MHz,6,12,95 W,Intel UHD Graphics 630,Comet Lake,Socket 1200 LGA
6984,1305,Intel Core i5-10600KF,4100 MHz,4800 MHz,6,12,125 W,,Comet Lake,Socket 1200 LGA
6901,1303,Intel Core i7-8086K,4000 MHz,,6,12,,,Coffee Lake,FCLGA1151
7051,1303,AMD Ryzen 5 3600XT,3800 MHz,4500 MHz,6,12,95 W,,Matisse,Socket AM4 (1331)
4402,1303,Intel Core i5-1145G7,2600 MHz,4400 MHz,4,8,28 W,Intel Iris Xe Graphics,Tiger Lake-U,Socket 1449 FCBGA
14177,1296,AMD Ryzen 9 3950X,3500 MHz,4700 MHz,16,32,105 W,,Matisse,Socket AM4 (1331)
8867,1289,AMD Ryzen 7 3800X,3900 MHz,4500 MHz,8,16,105 W,,Matisse,AM4
4447,1287,Intel Core i5-11300H,3100 MHz,4400 MHz,4,8,,Intel Iris Xe Graphics,Tiger Lake, FCBGA1449
6237,1285,AMD Ryzen 7 5800U,1900 MHz,4400 MHz,8,16,15 W,AMD Radeon RX Vega 8,Cezanne,Socket FP6
7134,1282,Intel Core i7-9700KF,3600 MHz,4900 MHz,8,8,95 W,,Coffee Lake,Socket 1151 LGA
7186,1280,Intel Core i7-9700K,3600 MHz,4900 MHz,8,8,95 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
11692,1277,AMD Ryzen 9 3900X,3800 MHz,4600 MHz,12,24,105 W,,Matisse,AM4
5711,1276,AMD Ryzen 7 PRO 5850U,1900 MHz,4400 MHz,8,16,15 W,AMD Radeon RX Vega 8,Cezanne,Socket FP6
4886,1273,Intel Core i7-7740X,4300 MHz,4500 MHz,4,8,112 W,,Kaby Lake,FCLGA2066
19949,1270,AMD Ryzen Threadripper 3960X,3800 MHz,4500 MHz,24,48,280 W,,Castle Peak,sTRX4
5129,1265,AMD Ryzen 3 3300X,3800 MHz,4300 MHz,4,8,65 W,,Matisse,Socket AM4 (1331)
4092,1261,Intel Core i3-9350KF,4000 MHz,4600 MHz,4,4,91 W,,Coffee Lake,Socket 1151 LGA
7542,1258,Intel Core i7-10700,2900 MHz,4800 MHz,8,16,65 W,Intel UHD Graphics 630,Comet Lake,Socket 1200 LGA
22316,1255,AMD Ryzen Threadripper 3970X,3700 MHz,4500 MHz,32,64,280 W,,Castle Peak,sTRX4
5362,1255,Intel Core i5-11260H,2600 MHz,4400 MHz,6,12,,Intel UHD Graphics,Tiger Lake,Socket 1787 FCBGA
8409,1253,AMD Ryzen 7 3700X,3600 MHz,4400 MHz,8,16,65 W,,Matisse,AM4
7780,1252,Intel Core i7-10700F,2900 MHz,4800 MHz,8,16,65 W,,Comet Lake,Socket 1200 LGA
7666,1251,Intel Core i9-9900,3100 MHz,5000 MHz,8,16,65 W, Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
6868,1245,AMD Ryzen 5 3600X,3800 MHz,4400 MHz,6,12,95 W,,Matisse,AM4
6495,1243,Intel Core i7-8700K,3700 MHz,4700 MHz,6,12,95 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
5619,1242,Intel Core i5-9600KF,3700 MHz,4600 MHz,6,6,95 W,,Coffee Lake,FCLGA1151
4174,1242,Intel Core i5-1135G7,2400 MHz,4200 MHz,4,8,,Intel Iris Xe Graphics,Tiger Lake-U,FCBGA1449
5469,1238,AMD Ryzen 5 5600H,3300 MHz,4200 MHz,6,12,45 W,AMD Radeon RX Vega 7,Cezanne,Socket FP6
6164,1234,Intel Core i5-10600,3300 MHz,4800 MHz,6,12,65 W,Intel UHD Graphics 630,Comet Lake,Socket 1200 LGA
5540,1233,Intel Core i5-9600K,3700 MHz,4600 MHz,6,6,95 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
3113,1231,Intel Core i5-1145G7E,1500 MHz,4100 MHz,4,8,15 W,Intel Iris Xe Graphics,Tiger Lake,Socket 1449 FCBGA
2358,1231,Intel Core i3-1115G4E,2200 MHz,3900 MHz,2,4,15 W,Intel UHD Graphics,Tiger Lake,Socket 1449 FCBGA
4488,1228,Intel Core i7-1068NG7,2300 MHz,4100 MHz,4,8,28 W,Intel Iris Plus Graphics,Ice Lake,FCBGA1344
10745,1218,AMD Ryzen 9 3900,3100 MHz,4300 MHz,12,24,65 W,,Matisse,Socket AM4 (1331)
25289,1216,AMD Ryzen Threadripper 3990X,2900 MHz,4300 MHz,64,128,280 W,,Castle Peak,sTRX4
2700,1215,Intel Core i3-7350K,4200 MHz,,2,4,60 W,Intel HD Graphics 630,Kaby Lake,Socket 1151 LGA
4684,1215,Intel Core i3-10320,3800 MHz,4600 MHz,4,8,65 W,Intel UHD Graphics 630,Comet Lake,Socket 1200 LGA
5293,1212,AMD Ryzen 5 5600U,2300 MHz,4200 MHz,6,12,15 W,AMD Radeon RX Vega 7,Cezanne,Socket FP6
4658,1210,Intel Core i7-7700K,4200 MHz,4500 MHz,4,8,91 W,Intel HD Graphics 630,Kaby Lake,FCLGA1151
5456,1208,Intel Core i5-8600K,3600 MHz,4300 MHz,6,6,95 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
6666,1205,AMD Ryzen 5 3600,3600 MHz,4200 MHz,6,12,65 W,,Matisse,AM4
6459,1203,Intel Core i7-9700F,3000 MHz,4700 MHz,8,8,65 W,,Coffee Lake,FCLGA1151
7773,1202,AMD Ryzen 7 PRO 4750G,3600 MHz,4400 MHz,8,16,65 W,AMD Radeon Vega 8,Renoir,"Socket AM4 (1331), Socket FP5"
5074,1200,Intel Core i5-9600,3100 MHz,4600 MHz,6,6,65 W, Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
7166,1200,Intel Xeon E-2288G,3700 MHz,5000 MHz,8,16,95 W,Intel UHD Graphics P630,Coffee Lake,Socket 1151 LGA
6384,1195,Intel Core i7-9700,3000 MHz,4700 MHz,8,8,65 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
6773,1194,Intel Core i9-10885H,2400 MHz,5300 MHz,8,16,45 W,Intel UHD Graphics,Comet Lake,Socket 1440 FCBGA
12587,1191,Intel Core i9-10920X,3500 MHz,4600 MHz,12,24,165 W,,Cascade Lake,Socket 2066 LGA
6860,1191,Intel Core i7-10875H,2300 MHz,5100 MHz,8,16,45 W,Intel UHD Graphics,Comet Lake,Socket 1440 FCBGA
16191,1180,Intel Core i9-10980XE,3000 MHz,4600 MHz,18,36,165 W,,Cascade Lake,Socket 2066 LGA
3870,1177,Intel Core i5-7640X,4000 MHz,4200 MHz,4,4,112 W,,Kaby Lake,FCLGA2066
3876,1175,Intel Core i3-8350K,4000 MHz,,4,4,91 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
5163,1174,AMD Ryzen 5 3500X,3600 MHz,4100 MHz,6,6,65 W,,Matisse,Socket AM4 (1331)
4677,1174,Intel Core i5-11500T,1500 MHz,3900 MHz,6,12,35 W,Intel UHD Graphics 750,Rocket Lake,Socket 1200 LGA
5712,1172,Intel Core i5-10500,3100 MHz,4500 MHz,6,12,65 W,Intel UHD Graphics 630,Comet Lake,Socket 1200 LGA
5758,1168,Intel Core i7-8700B,3200 MHz,4600 MHz,6,12,65 W,,Coffee Lake,FCBGA1440
6308,1168,AMD Ryzen 5 PRO 4650G,3701 MHz,4200 MHz,6,12,65 W,Radeon Vega 6,Renoir,"Socket AM4 (1331), Socket FP5"
4465,1166,Intel Core i3-10300,3700 MHz,4400 MHz,4,8,65 W,Intel UHD Graphics 630,Comet Lake,Socket 1200 LGA
14056,1164,Intel Xeon W-2295,3000 MHz,4600 MHz,18,36,165 W,,Cascade Lake,Socket 2066 LGA
2436,1162,Intel Core i3-1115G4,3000 MHz,4100 MHz,2,4,,Intel UHD Graphics,Tiger Lake,FCBGA1449
9007,1161,Intel Core i7-9800X,3800 MHz,4400 MHz,8,16,165 W,,Skylake,Socket 2066 LGA
6595,1159,Intel Core i7-10870H,2200 MHz,5000 MHz,8,16,45 W,Intel UHD Graphics,Comet Lake,Socket 1440 FCBGA
3785,1158,Intel Core i5-7600K,3800 MHz,4200 MHz,4,4,91 W,Intel HD Graphics 630,Kaby Lake,FCLGA1151
13324,1158,Intel Core i9-10940X,3300 MHz,4600 MHz,14,28,165 W,,Cascade Lake,Socket 2066 LGA
10547,1156,Intel Core i9-10900X,3700 MHz,4500 MHz,10,20,165 W,,Cascade Lake,Socket 2066 LGA
13754,1155,Intel Core i9-9940X,3300 MHz,4400 MHz,14,28,165 W,,Skylake,Socket 2066 LGA
5801,1154,Intel Core i7-8700,3200 MHz,4600 MHz,6,12,65 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
5340,1151,Intel Core i7-10850H,2700 MHz,5100 MHz,6,12,45 W,Intel UHD Graphics,Comet Lake,Socket 1440 FCBGA
6822,1139,AMD Ryzen 9 4900H,3300 MHz,4400 MHz,8,16,45 W,Radeon Vega 8,Renoir,Socket FP5
4433,1136,Intel Core i7-6700K,4000 MHz,4200 MHz,4,8,91 W,Intel HD Graphics 530,Skylake,FCLGA1151
5411,1134,Intel Core i7-10750H,2600 MHz,5000 MHz,6,12,45 W,Intel UHD Graphics,Comet Lake,Socket 1440 FCBGA
4830,1133,AMD Ryzen 5 3500,3600 MHz,4100 MHz,6,6,65 W,,Matisse,Socket AM4 (1331)
4721,1132,AMD Ryzen 3 3100,3600 MHz,3900 MHz,4,8,65 W,,Matisse,Socket AM4 (1331)
10465,1127,Intel Core i9-9900X,3500 MHz,4400 MHz,10,20,165 W,,Skylake,FCLGA2066
4229,1125,Intel Core i5-1038NG7,2000 MHz,3800 MHz,4,8,28 W,Intel Iris Plus Graphics,Ice Lake,FCBGA1344
12869,1122,Intel Core i9-7940X,3100 MHz,4300 MHz,14,28,165 W,,Skylake,Socket 2066 LGA
16289,1118,Intel Core i9-9980XE,3000 MHz,4400 MHz,18,36,165 W,,Skylake,Socket 2066 LGA
3654,1117,Intel Core i3-1125G4,2000 MHz,3700 MHz,4,8,28 W,Intel UHD Graphics,Tiger Lake,Socket 1449 FCBGA
16979,1116,Intel Xeon W-3265M,2700 MHz,4400 MHz,24,48,205 W,,Cascade Lake,FCLGA3647
4612,1114,Intel Core i5-9500,3000 MHz,4400 MHz,6,6,65 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
6487,1113,Intel Core i9-9980HK,2400 MHz,5000 MHz,8,16,45 W, Intel UHD Graphics 630,Kaby Lake,Socket 1440 FCBGA
5133,1113,Intel Xeon E-2276M,2800 MHz,4700 MHz,6,12,45 W,Intel UHD Graphics P630,Coffee Lake,Socket 1440 FCBGA
4838,1112,Intel Core i5-8600,3100 MHz,4300 MHz,6,6,65 W,Intel UHD Graphics 630,Coffee Lake,FCLGA1151
14283,1111,Intel Core i9-7960X,2800 MHz,4200 MHz,16,32,165 W,,Skylake,Socket 2066 LGA
14902,1110,Intel Core i9-7980XE,2600 MHz,4200 MHz,18,36,165 W,,Skylake,Socket 2066 LGA
14754,1109,Intel Xeon W-3245,3200 MHz,4400 MHz,16,32,205 W,,Cascade Lake,FCLGA3647
11965,1108,Intel Core i9-9920X,3500 MHz,4400 MHz,12,24,165 W,,Skylake,Socket 2066 LGA
14258,1108,Intel Core i9-9960X,3100 MHz,4400 MHz,16,32,165 W,,Skylake,Socket 2066 LGA
8518,1107,Intel Xeon W-2145,3700 MHz,4500 MHz,8,16,140 W,,Skylake,FCLGA2066
5726,1107,Intel Core i5-10400F,2900 MHz,4300 MHz,6,12,65 W,,Comet Lake,Socket 1200 LGA
11756,1106,Intel Core i9-7920X,2900 MHz,4300 MHz,12,24,140 W,,Skylake,Socket 2066 LGA
4060,1106,Intel Core i7-8569U,2800 MHz,4700 MHz,4,8,28 W,Intel Iris Plus Graphics 655,Coffee Lake,Socket 1528 FCBGA
5561,1105,Intel Core i5-10400,2900 MHz,4300 MHz,6,12,65 W,Intel UHD Graphics 630,Comet Lake,Socket 1200 LGA
9939,1103,Intel Core i9-7900X,3300 MHz,4300 MHz,10,20,140 W,,Skylake-E/EP,FCLGA2066
8310,1101,Intel Core i7-7820X,3600 MHz,4300 MHz,8,16,140 W,,Skylake-E/EP,FCLGA2066
12020,1101,Intel Xeon W-3235,3300 MHz,4400 MHz,12,24,180 W,,Cascade Lake,FCLGA3647
6123,1098,Intel Core i7-7800X,3500 MHz,4000 MHz,6,12,140 W,,Skylake-E/EP,FCLGA2066
4084,1096,Intel Core i3-10100F,3600 MHz,4300 MHz,4,8,65 W,,Comet Lake,Socket 1200 LGA
3978,1094,Intel Core i3-10100,3600 MHz,4300 MHz,4,8,95 W,Intel UHD Graphics 630,Comet Lake,Socket 1200 LGA
3595,1093,Intel Core i5-6600K,3500 MHz,3900 MHz,4,4,91 W,Intel HD Graphics 530,Skylake,FCLGA1151
4911,1081,Intel Core i7-9850H,2600 MHz,4600 MHz,6,12,45 W,Intel UHD Graphics 630,Coffee Lake,Socket 1440 FCBGA
6948,1080,AMD Ryzen 9 4900HS,3000 MHz,4300 MHz,8,16,35 W,AMD Radeon Vega 7,Renoir,FP6
6400,1079,Intel Xeon W-2135 ,3700 MHz,4500 MHz,6,12,140 W,,Skylake,FCLGA2066
5917,1079,Intel Xeon E-2136,3300 MHz,4500 MHz,6,12,80 W,,Coffee Lake,Socket 1151 LGA
6438,1078,AMD Ryzen 7 4800H,2900 MHz,4200 MHz,8,16,45 W,AMD Radeon Vega 7,Renoir,FP6
9066,1077,Intel Xeon W-2150B,3000 MHz,4500 MHz,10,20,,,,
3997,1071,Intel Core i7-8559U,2700 MHz,,4,8,,,Coffee Lake,FCBGA1528
21264,1071,Intel Xeon W-3175X,3100 MHz,3800 MHz,28,56,255 W,,Skylake,Socket 3647 LGA
9634,1070,AMD Ryzen Threadripper 2920X,3500 MHz,4300 MHz,12,24,180 W,,Colfax,sTR4
18194,1070,Intel Xeon W-3275M,2500 MHz,4400 MHz,28,56,205 W,,Cascade Lake,FCLGA3647
4804,1067,Intel Core i9-8950HK,2900 MHz,,6,12,,,Coffee Lake,FCBGA1440
6100,1066,Intel Core i9-9880H,2300 MHz,4800 MHz,8,16,45 W, Intel UHD Graphics 630,Kaby Lake,Socket 1440 FCBGA
9799,1062,Intel Xeon W-2155,3300 MHz,4500 MHz,10,20,140 W,,Skylake,FCLGA2066
4590,1061,Intel Core i5-8500,3000 MHz,4100 MHz,6,6,65 W,Intel UHD Graphics 630,Coffee Lake,FCLGA1151
3740,1061,Intel Core i5-10300H,2500 MHz,4500 MHz,4,8,45 W,Intel UHD Graphics,Comet Lake,Socket 1440 FCBGA
3946,1059,Intel Core i7-4790K,4000 MHz,4400 MHz,4,8,88 W,Intel HD Graphics 4600,Haswell,Socket 1150 LGA
4708,1059,Intel Core i5-8500B,3000 MHz,4100 MHz,6,6,65 W, Intel UHD Graphics 630,Coffee Lake,Socket 1440 FCBGA
3287,1059,Intel Core i3-9100,3600 MHz,4200 MHz,4,4,65 W,Intel UHD Graphics 630,Coffee Lake,FCLGA1151
4576,1057,Intel Core i5-9400F,2900 MHz,4100 MHz,6,6,65 W,,Coffee Lake,Socket 1151 LGA
12109,1055,AMD Ryzen Threadripper 2950X,3500 MHz,4400 MHz,16,32,180 W,,Colfax,sTR4
4091,1054,Intel Xeon E3-1270 v6,3800 MHz,4200 MHz,4,8,72 W,,Kaby Lake,Socket 1151 LGA
3967,1054,Intel Xeon E3-1275 v6,3800 MHz,4200 MHz,4,8,73 W,Intel HD Graphics P630,Kaby Lake,Socket 1151 LGA
5142,1053,Intel Core i7-9700T,2000 MHz,4300 MHz,8,8,35 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
6583,1050,AMD Ryzen 7 4800HS,2900 MHz,4200 MHz,8,16,35 W,AMD Radeon Vega 7,Renoir,Socket FP5
4101,1046,Intel Xeon E3-1245 v6,3700 MHz,4100 MHz,4,8,73 W,Intel HD Graphics P630,Kaby Lake,Socket 1151 LGA
4515,1046,Intel Core i5-9400,2900 MHz,4100 MHz,6,6,65 W, Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
3972,1043,Intel Core i7-7700,3600 MHz,4200 MHz,4,8,65 W,Intel HD Graphics 630,Kaby Lake,Socket 1151 LGA
4870,1043,Intel Core i7-9750H,2600 MHz,4500 MHz,6,12,45 W, Intel UHD Graphics 630,Coffee Lake,Socket 1440 FCBGA
11719,1043,Intel Xeon W-2170B,2500 MHz,,14,28,,,,
7841,1042,Intel Xeon W-2140B,3200 MHz,4200 MHz,8,16,,,,
3975,1042,Intel Core i7-8809G,3100 MHz,4200 MHz,4,8,,Intel HD Graphics 630,Kaby Lake G,BGA2270
6849,1041,AMD Ryzen 7 2700X,3700 MHz,4300 MHz,8,16,105 W,,Pinnacle Ridge,AM4
7691,1041,Intel Xeon E5-1660 v3,3000 MHz,3500 MHz,8,16,140 W,,Haswell,FCLGA2011-3
3224,1040,Intel Core i3-9100F,3600 MHz,4200 MHz,4,4,65 W,,Coffee Lake,Socket 1151 LGA
5919,1037,AMD Ryzen 7 4800U,1800 MHz,4200 MHz,8,16,15 W,AMD Radeon Vega 8,Renoir,Socket FP5
4021,1035,Intel Xeon E3-1240 v6,3700 MHz,4100 MHz,4,8,72 W,,Kaby Lake,Socket 1151 LGA
4511,1034,Intel Core i5-8400,2800 MHz,4000 MHz,6,6,65 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
5608,1033,AMD Ryzen 5 2600X,3600 MHz,4200 MHz,6,12,95 W,,Pinnacle Ridge,AM4
7904,1033,Intel Xeon W-3223,3500 MHz,4000 MHz,8,16,160 W,,Cascade Lake,FCLGA3647
4828,1031,Intel Core i7-8700T,2400 MHz,4000 MHz,6,12,35 W, Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
3312,1030,Intel Core i5-7600,3500 MHz,4100 MHz,4,4,65 W,Intel HD Graphics 630,Kaby Lake,Socket 1151 LGA
5468,1027,AMD Ryzen 7 5700U,1800 MHz,4300 MHz,8,16,15 W,AMD Radeon RX Vega 8,Cezanne,Socket FP6
4534,1025,Intel Xeon E-2176M,2700 MHz,4400 MHz,6,12,45 W,Intel UHD Graphics P630,Coffee Lake,FCBGA1440
2291,1022,Intel Core i3-6320,3900 MHz,,2,4,51 W,Intel HD Graphics 530,Skylake,FCLGA1151
2268,1022,Intel Core i3-7300,4000 MHz,,2,4,51 W,Intel HD Graphics 630,Kaby Lake,Socket 1151 LGA
3799,1022,Intel Xeon E3-1535M v6,3100 MHz,4200 MHz,4,8,45 W,Intel HD Graphics P630,Kaby Lake,Socket 1440 FCBGA
4040,1021,Intel Core i7-5775C,3300 MHz,3700 MHz,4,8,65 W,Intel Iris Pro Graphics 6200,Broadwell,FCLGA1150
5381,1021,AMD Ryzen 7 PRO 4750U,1700 MHz,4100 MHz,8,16,15 W,,Renoir,Socket FP5
4413,1019,Intel Xeon W-2125,4000 MHz,4500 MHz,4,8,120 W,,Skylake,FCLGA2066
2802,1019,Intel Core i7-1060NG7,1200 MHz,3800 MHz,4,8,10 W,Intel Iris Plus,Ice Lake,
13671,1014,AMD Ryzen Threadripper 2990WX,3000 MHz,4200 MHz,32,64,250 W,,Colfax,sTR4
5698,1012,Intel Xeon E-2146G,3500 MHz,4500 MHz,6,12,80 W,Intel UHD Graphics P630,Coffee Lake,Socket 1151 LGA
4503,1008,Intel Core i7-8850H,2600 MHz,,6,12,,,Coffee Lake,FCBGA1440
3576,1002,Intel Core i5-5675C,3100 MHz,3600 MHz,4,4,65 W,Intel Iris Pro Graphics 6200,Broadwell,Socket 1150 LGA
12583,1001,Intel Xeon W-2191B,2300 MHz,4300 MHz,18,36,,,Skylake,Socket 1151 LGA
4099,1000,Intel Xeon E3-1280 v6,3900 MHz,4200 MHz,4,8,72 W,,Kaby Lake,Socket 1151 LGA
3894,998,Intel Xeon E3-1285L v4,3400 MHz,3800 MHz,4,8,65 W,,Broadwell,FCLGA1150
10480,994,AMD Ryzen Threadripper 2970WX,3000 MHz,4200 MHz,24,48,250 W,,Colfax,sTR4
3643,994,Intel Core i5-8279U,2400 MHz,4100 MHz,4,8,28 W,Intel Iris Plus Graphics 655,Coffee Lake, FCBGA1528
3087,993,AMD Ryzen 3 2300X,3500 MHz,4000 MHz,4,4,65 W,,Pinnacle Ridge,Socket AM4 (1331)
