mcscore,scscore,processor,freq,maxfreq,cores,threads,tdp,codename,package
8852,1336,Intel Core i7-10700K,3800 MHz,5100 MHz,8,16,125 W,Intel UHD Graphics 630,Comet Lake
7085,1333,AMD Ryzen 7 5800H,3200 MHz,4400 MHz,8,16,45 W,Cezanne,Socket FP6
5630,1326,Intel Core i5-11400H,2700 MHz,4500 MHz,6,12,45 W,Intel UHD Graphics,Tiger Lake
9572,1324,Intel Core i9-10910,3600 MHz,5000 MHz,10,20,125 W, Intel UHD Graphics 630,Comet Lake
9509,1323,Intel Core i9-10900F,2800 MHz,5200 MHz,10,20,65 W,Comet Lake,Socket 1200 LGA
8615,1319,Intel Core i7-10700KF,3800 MHz,5100 MHz,8,16,125 W,Comet Lake,Socket 1200 LGA
11939,1318,AMD Ryzen 9 3900XT,3800 MHz,4700 MHz,12,24,105 W,Matisse,Socket AM4 (1331)
8596,1317,Intel Core i9-9900KF,3600 MHz,5000 MHz,8,16,95 W,Coffee Lake,Socket 1151 LGA
9252,1314,Intel Core i9-10900,2800 MHz,5200 MHz,10,20,65 W,Intel UHD Graphics 630,Comet Lake
8535,1308,Intel Core i9-9900K,3600 MHz,5000 MHz,8,16,95 W,Intel UHD Graphics 630,Coffee Lake
6912,1307,Intel Core i5-10600K,4100 MHz,4800 MHz,6,12,95 W,Intel UHD Graphics 630,Comet Lake
6994,1306,Intel Core i5-10600KF,4100 MHz,4800 MHz,6,12,125 W,Comet Lake,Socket 1200 LGA
4421,1305,Intel Core i5-1145G7,2600 MHz,4400 MHz,4,8,28 W,Intel Iris Xe Graphics,Tiger Lake-U
6909,1304,Intel Core i7-8086K,4000 MHz,,6,12,Coffee Lake,FCLGA1151,
7050,1303,AMD Ryzen 5 3600XT,3800 MHz,4500 MHz,6,12,95 W,Matisse,Socket AM4 (1331)
14171,1296,AMD Ryzen 9 3950X,3500 MHz,4700 MHz,16,32,105 W,Matisse,Socket AM4 (1331)
8863,1289,AMD Ryzen 7 3800X,3900 MHz,4500 MHz,8,16,105 W,Matisse,AM4
4447,1286,Intel Core i5-11300H,3100 MHz,4400 MHz,4,8,Intel Iris Xe Graphics,Tiger Lake, FCBGA1449
6235,1286,AMD Ryzen 7 5800U,1900 MHz,4400 MHz,8,16,15 W,AMD Radeon RX Vega 8,Cezanne
7131,1282,Intel Core i7-9700KF,3600 MHz,4900 MHz,8,8,95 W,Coffee Lake,Socket 1151 LGA
7189,1280,Intel Core i7-9700K,3600 MHz,4900 MHz,8,8,95 W,Intel UHD Graphics 630,Coffee Lake
11692,1277,AMD Ryzen 9 3900X,3800 MHz,4600 MHz,12,24,105 W,Matisse,AM4
4886,1273,Intel Core i7-7740X,4300 MHz,4500 MHz,4,8,112 W,Kaby Lake,FCLGA2066
19941,1270,AMD Ryzen Threadripper 3960X,3800 MHz,4500 MHz,24,48,280 W,Castle Peak,sTRX4
5732,1269,AMD Ryzen 7 PRO 5850U,1900 MHz,4400 MHz,8,16,15 W,AMD Radeon RX Vega 8,Cezanne
5127,1265,AMD Ryzen 3 3300X,3800 MHz,4300 MHz,4,8,65 W,Matisse,Socket AM4 (1331)
4094,1261,Intel Core i3-9350KF,4000 MHz,4600 MHz,4,4,91 W,Coffee Lake,Socket 1151 LGA
7552,1258,Intel Core i7-10700,2900 MHz,4800 MHz,8,16,65 W,Intel UHD Graphics 630,Comet Lake
22329,1255,AMD Ryzen Threadripper 3970X,3700 MHz,4500 MHz,32,64,280 W,Castle Peak,sTRX4
8411,1253,AMD Ryzen 7 3700X,3600 MHz,4400 MHz,8,16,65 W,Matisse,AM4
7785,1253,Intel Core i7-10700F,2900 MHz,4800 MHz,8,16,65 W,Comet Lake,Socket 1200 LGA
7670,1252,Intel Core i9-9900,3100 MHz,5000 MHz,8,16,65 W, Intel UHD Graphics 630,Coffee Lake
5344,1250,Intel Core i5-11260H,2600 MHz,4400 MHz,6,12,Intel UHD Graphics,Tiger Lake,Socket 1787 FCBGA
6868,1245,AMD Ryzen 5 3600X,3800 MHz,4400 MHz,6,12,95 W,Matisse,AM4
6501,1244,Intel Core i7-8700K,3700 MHz,4700 MHz,6,12,95 W,Intel UHD Graphics 630,Coffee Lake
5631,1243,Intel Core i5-9600KF,3700 MHz,4600 MHz,6,6,95 W,Coffee Lake,FCLGA1151
4185,1243,Intel Core i5-1135G7,2400 MHz,4200 MHz,4,8,Intel Iris Xe Graphics,Tiger Lake-U,FCBGA1449
5467,1238,AMD Ryzen 5 5600H,3300 MHz,4200 MHz,6,12,45 W,AMD Radeon RX Vega 7,Cezanne
6166,1236,Intel Core i5-10600,3300 MHz,4800 MHz,6,12,65 W,Intel UHD Graphics 630,Comet Lake
5544,1234,Intel Core i5-9600K,3700 MHz,4600 MHz,6,6,95 W,Intel UHD Graphics 630,Coffee Lake
3113,1231,Intel Core i5-1145G7E,1500 MHz,4100 MHz,4,8,15 W,Intel Iris Xe Graphics,Tiger Lake
2358,1231,Intel Core i3-1115G4E,2200 MHz,3900 MHz,2,4,15 W,Intel UHD Graphics,Tiger Lake
4488,1228,Intel Core i7-1068NG7,2300 MHz,4100 MHz,4,8,28 W,Intel Iris Plus Graphics,Ice Lake
10741,1218,AMD Ryzen 9 3900,3100 MHz,4300 MHz,12,24,65 W,Matisse,Socket AM4 (1331)
2700,1215,Intel Core i3-7350K,4200 MHz,,2,4,60 W,Intel HD Graphics 630,Kaby Lake
25264,1215,AMD Ryzen Threadripper 3990X,2900 MHz,4300 MHz,64,128,280 W,Castle Peak,sTRX4
4684,1215,Intel Core i3-10320,3800 MHz,4600 MHz,4,8,65 W,Intel UHD Graphics 630,Comet Lake
4661,1211,Intel Core i7-7700K,4200 MHz,4500 MHz,4,8,91 W,Intel HD Graphics 630,Kaby Lake
5463,1209,Intel Core i5-8600K,3600 MHz,4300 MHz,6,6,95 W,Intel UHD Graphics 630,Coffee Lake
5285,1209,AMD Ryzen 5 5600U,2300 MHz,4200 MHz,6,12,15 W,AMD Radeon RX Vega 7,Cezanne
6667,1205,AMD Ryzen 5 3600,3600 MHz,4200 MHz,6,12,65 W,Matisse,AM4
6463,1203,Intel Core i7-9700F,3000 MHz,4700 MHz,8,8,65 W,Coffee Lake,FCLGA1151
7780,1201,AMD Ryzen 7 PRO 4750G,3600 MHz,4400 MHz,8,16,65 W,AMD Radeon Vega 8,Renoir
5074,1200,Intel Core i5-9600,3100 MHz,4600 MHz,6,6,65 W, Intel UHD Graphics 630,Coffee Lake
7166,1200,Intel Xeon E-2288G,3700 MHz,5000 MHz,8,16,95 W,Intel UHD Graphics P630,Coffee Lake
6388,1196,Intel Core i7-9700,3000 MHz,4700 MHz,8,8,65 W,Intel UHD Graphics 630,Coffee Lake
6779,1195,Intel Core i9-10885H,2400 MHz,5300 MHz,8,16,45 W,Intel UHD Graphics,Comet Lake
12588,1191,Intel Core i9-10920X,3500 MHz,4600 MHz,12,24,165 W,Cascade Lake,Socket 2066 LGA
6863,1191,Intel Core i7-10875H,2300 MHz,5100 MHz,8,16,45 W,Intel UHD Graphics,Comet Lake
16199,1181,Intel Core i9-10980XE,3000 MHz,4600 MHz,18,36,165 W,Cascade Lake,Socket 2066 LGA
3873,1178,Intel Core i5-7640X,4000 MHz,4200 MHz,4,4,112 W,Kaby Lake,FCLGA2066
3877,1175,Intel Core i3-8350K,4000 MHz,,4,4,91 W,Intel UHD Graphics 630,Coffee Lake
5158,1174,AMD Ryzen 5 3500X,3600 MHz,4100 MHz,6,6,65 W,Matisse,Socket AM4 (1331)
4677,1174,Intel Core i5-11500T,1500 MHz,3900 MHz,6,12,35 W,Intel UHD Graphics 750,Rocket Lake
5717,1173,Intel Core i5-10500,3100 MHz,4500 MHz,6,12,65 W,Intel UHD Graphics 630,Comet Lake
6317,1169,AMD Ryzen 5 PRO 4650G,3701 MHz,4200 MHz,6,12,65 W,Radeon Vega 6,Renoir
5756,1168,Intel Core i7-8700B,3200 MHz,4600 MHz,6,12,65 W,Intel UHD Graphics 630,Coffee Lake
4473,1168,Intel Core i3-10300,3700 MHz,4400 MHz,4,8,65 W,Intel UHD Graphics 630,Comet Lake
14044,1163,Intel Xeon W-2295,3000 MHz,4600 MHz,18,36,165 W,Cascade Lake,Socket 2066 LGA
2440,1162,Intel Core i3-1115G4,3000 MHz,4100 MHz,2,4,Intel UHD Graphics,Tiger Lake,FCBGA1449
9009,1161,Intel Core i7-9800X,3800 MHz,4400 MHz,8,16,165 W,Skylake,Socket 2066 LGA
13339,1159,Intel Core i9-10940X,3300 MHz,4600 MHz,14,28,165 W,Cascade Lake,Socket 2066 LGA
6593,1159,Intel Core i7-10870H,2200 MHz,5000 MHz,8,16,45 W,Intel UHD Graphics,Comet Lake
3784,1158,Intel Core i5-7600K,3800 MHz,4200 MHz,4,4,91 W,Intel HD Graphics 630,Kaby Lake
13772,1156,Intel Core i9-9940X,3300 MHz,4400 MHz,14,28,165 W,Skylake,Socket 2066 LGA
10562,1156,Intel Core i9-10900X,3700 MHz,4500 MHz,10,20,165 W,Cascade Lake,Socket 2066 LGA
5805,1154,Intel Core i7-8700,3200 MHz,4600 MHz,6,12,65 W,Intel UHD Graphics 630,Coffee Lake
5341,1151,Intel Core i7-10850H,2700 MHz,5100 MHz,6,12,45 W,Intel UHD Graphics,Comet Lake
6810,1138,AMD Ryzen 9 4900H,3300 MHz,4400 MHz,8,16,45 W,Radeon Vega 8,Renoir
4434,1136,Intel Core i7-6700K,4000 MHz,4200 MHz,4,8,91 W,Intel HD Graphics 530,Skylake
4833,1134,AMD Ryzen 5 3500,3600 MHz,4100 MHz,6,6,65 W,Matisse,Socket AM4 (1331)
5413,1134,Intel Core i7-10750H,2600 MHz,5000 MHz,6,12,45 W,Intel UHD Graphics,Comet Lake
4723,1132,AMD Ryzen 3 3100,3600 MHz,3900 MHz,4,8,65 W,Matisse,Socket AM4 (1331)
10465,1127,Intel Core i9-9900X,3500 MHz,4400 MHz,10,20,165 W,Skylake,FCLGA2066
4234,1124,Intel Core i5-1038NG7,2000 MHz,3800 MHz,4,8,28 W,Intel Iris Plus Graphics,Ice Lake
12847,1123,Intel Core i9-7940X,3100 MHz,4300 MHz,14,28,165 W,Skylake,Socket 2066 LGA
3665,1119,Intel Core i3-1125G4,2000 MHz,3700 MHz,4,8,28 W,Intel UHD Graphics,Tiger Lake
16272,1118,Intel Core i9-9980XE,3000 MHz,4400 MHz,18,36,165 W,Skylake,Socket 2066 LGA
16979,1116,Intel Xeon W-3265M,2700 MHz,4400 MHz,24,48,205 W,Cascade Lake,FCLGA3647
6498,1114,Intel Core i9-9980HK,2400 MHz,5000 MHz,8,16,45 W, Intel UHD Graphics 630,Kaby Lake
4610,1113,Intel Core i5-9500,3000 MHz,4400 MHz,6,6,65 W,Intel UHD Graphics 630,Coffee Lake
4839,1112,Intel Core i5-8600,3100 MHz,4300 MHz,6,6,65 W,Intel UHD Graphics 630,Coffee Lake
5128,1112,Intel Xeon E-2276M,2800 MHz,4700 MHz,6,12,45 W,Intel UHD Graphics P630,Coffee Lake
14281,1111,Intel Core i9-7960X,2800 MHz,4200 MHz,16,32,165 W,Skylake,Socket 2066 LGA
14914,1110,Intel Core i9-7980XE,2600 MHz,4200 MHz,18,36,165 W,Skylake,Socket 2066 LGA
14277,1109,Intel Core i9-9960X,3100 MHz,4400 MHz,16,32,165 W,Skylake,Socket 2066 LGA
14754,1109,Intel Xeon W-3245,3200 MHz,4400 MHz,16,32,205 W,Cascade Lake,FCLGA3647
11952,1107,Intel Core i9-9920X,3500 MHz,4400 MHz,12,24,165 W,Skylake,Socket 2066 LGA
5730,1107,Intel Core i5-10400F,2900 MHz,4300 MHz,6,12,65 W,Comet Lake,Socket 1200 LGA
11756,1106,Intel Core i9-7920X,2900 MHz,4300 MHz,12,24,140 W,Skylake,Socket 2066 LGA
8518,1106,Intel Xeon W-2145,3700 MHz,4500 MHz,8,16,140 W,Skylake,FCLGA2066
4060,1106,Intel Core i7-8569U,2800 MHz,4700 MHz,4,8,28 W,Intel Iris Plus Graphics 655,Coffee Lake
5569,1106,Intel Core i5-10400,2900 MHz,4300 MHz,6,12,65 W,Intel UHD Graphics 630,Comet Lake
9947,1104,Intel Core i9-7900X,3300 MHz,4300 MHz,10,20,140 W,Skylake-E/EP,FCLGA2066
12014,1102,Intel Xeon W-3235,3300 MHz,4400 MHz,12,24,180 W,Cascade Lake,FCLGA3647
8302,1101,Intel Core i7-7820X,3600 MHz,4300 MHz,8,16,140 W,Skylake-E/EP,FCLGA2066
6107,1097,Intel Core i7-7800X,3500 MHz,4000 MHz,6,12,140 W,Skylake-E/EP,FCLGA2066
4090,1096,Intel Core i3-10100F,3600 MHz,4300 MHz,4,8,65 W,Comet Lake,Socket 1200 LGA
3982,1094,Intel Core i3-10100,3600 MHz,4300 MHz,4,8,95 W,Intel UHD Graphics 630,Comet Lake
3594,1093,Intel Core i5-6600K,3500 MHz,3900 MHz,4,4,91 W,Intel HD Graphics 530,Skylake
4910,1080,Intel Core i7-9850H,2600 MHz,4600 MHz,6,12,45 W,Intel UHD Graphics 630,Coffee Lake
6442,1079,AMD Ryzen 7 4800H,2900 MHz,4200 MHz,8,16,45 W,AMD Radeon Vega 7,Renoir
6950,1079,AMD Ryzen 9 4900HS,3000 MHz,4300 MHz,8,16,35 W,AMD Radeon Vega 7,Renoir
5917,1079,Intel Xeon E-2136,3300 MHz,4500 MHz,6,12,80 W,Coffee Lake,Socket 1151 LGA
9069,1078,Intel Xeon W-2150B,3000 MHz,4500 MHz,10,20,,,
6401,1077,Intel Xeon W-2135 ,3700 MHz,4500 MHz,6,12,140 W,Skylake,FCLGA2066
20910,1075,Intel Xeon W-3175X,3100 MHz,3800 MHz,28,56,255 W,Skylake,Socket 3647 LGA
18122,1075,Intel Xeon W-3275M,2500 MHz,4400 MHz,28,56,205 W,Cascade Lake,FCLGA3647
3998,1071,Intel Core i7-8559U,2700 MHz,,4,8,Coffee Lake,FCBGA1528,
9624,1070,AMD Ryzen Threadripper 2920X,3500 MHz,4300 MHz,12,24,180 W,Colfax,sTR4
4808,1067,Intel Core i9-8950HK,2900 MHz,,6,12,Coffee Lake,FCBGA1440,
6099,1066,Intel Core i9-9880H,2300 MHz,4800 MHz,8,16,45 W, Intel UHD Graphics 630,Kaby Lake
9799,1062,Intel Xeon W-2155,3300 MHz,4500 MHz,10,20,140 W,Skylake,FCLGA2066
4591,1061,Intel Core i5-8500,3000 MHz,4100 MHz,6,6,65 W,Intel UHD Graphics 630,Coffee Lake
3744,1061,Intel Core i5-10300H,2500 MHz,4500 MHz,4,8,45 W,Intel UHD Graphics,Comet Lake
3947,1059,Intel Core i7-4790K,4000 MHz,4400 MHz,4,8,88 W,Intel HD Graphics 4600,Haswell
4707,1059,Intel Core i5-8500B,3000 MHz,4100 MHz,6,6,65 W, Intel UHD Graphics 630,Coffee Lake
3283,1058,Intel Core i3-9100,3600 MHz,4200 MHz,4,4,65 W,Intel UHD Graphics 630,Coffee Lake
4576,1057,Intel Core i5-9400F,2900 MHz,4100 MHz,6,6,65 W,Coffee Lake,Socket 1151 LGA
12155,1056,AMD Ryzen Threadripper 2950X,3500 MHz,4400 MHz,16,32,180 W,Colfax,sTR4
3967,1054,Intel Xeon E3-1275 v6,3800 MHz,4200 MHz,4,8,73 W,Intel HD Graphics P630,Kaby Lake
5139,1053,Intel Core i7-9700T,2000 MHz,4300 MHz,8,8,35 W,Intel UHD Graphics 630,Coffee Lake
4081,1052,Intel Xeon E3-1270 v6,3800 MHz,4200 MHz,4,8,72 W,Kaby Lake,Socket 1151 LGA
6587,1051,AMD Ryzen 7 4800HS,2900 MHz,4200 MHz,8,16,35 W,AMD Radeon Vega 7,Renoir
4518,1046,Intel Core i5-9400,2900 MHz,4100 MHz,6,6,65 W, Intel UHD Graphics 630,Coffee Lake
3972,1044,Intel Core i7-7700,3600 MHz,4200 MHz,4,8,65 W,Intel HD Graphics 630,Kaby Lake
7845,1044,Intel Xeon W-2140B,3200 MHz,4200 MHz,8,16,,,
4094,1044,Intel Xeon E3-1245 v6,3700 MHz,4100 MHz,4,8,73 W,Intel HD Graphics P630,Kaby Lake
4873,1043,Intel Core i7-9750H,2600 MHz,4500 MHz,6,12,45 W, Intel UHD Graphics 630,Coffee Lake
11719,1043,Intel Xeon W-2170B,2500 MHz,,14,28,,,
7698,1042,Intel Xeon E5-1660 v3,3000 MHz,3500 MHz,8,16,140 W,Haswell,FCLGA2011-3
3970,1041,Intel Core i7-8809G,3100 MHz,4200 MHz,4,8,Intel HD Graphics 630,Radeon RX Vega M GH Graphics,Kaby Lake G
6845,1040,AMD Ryzen 7 2700X,3700 MHz,4300 MHz,8,16,105 W,Pinnacle Ridge,AM4
3221,1040,Intel Core i3-9100F,3600 MHz,4200 MHz,4,4,65 W,Coffee Lake,Socket 1151 LGA
5916,1037,AMD Ryzen 7 4800U,1800 MHz,4200 MHz,8,16,15 W,AMD Radeon Vega 8,Renoir
4514,1034,Intel Core i5-8400,2800 MHz,4000 MHz,6,6,65 W,Intel UHD Graphics 630,Coffee Lake
5607,1033,AMD Ryzen 5 2600X,3600 MHz,4200 MHz,6,12,95 W,Pinnacle Ridge,AM4
4011,1033,Intel Xeon E3-1240 v6,3700 MHz,4100 MHz,4,8,72 W,Kaby Lake,Socket 1151 LGA
4841,1032,Intel Core i7-8700T,2400 MHz,4000 MHz,6,12,35 W, Intel UHD Graphics 630,Coffee Lake
3314,1031,Intel Core i5-7600,3500 MHz,4100 MHz,4,4,65 W,Intel HD Graphics 630,Kaby Lake
7893,1031,Intel Xeon W-3223,3500 MHz,4000 MHz,8,16,160 W,Cascade Lake,FCLGA3647
5462,1027,AMD Ryzen 7 5700U,1800 MHz,4300 MHz,8,16,15 W,AMD Radeon RX Vega 8,Cezanne
4523,1024,Intel Xeon E-2176M,2700 MHz,4400 MHz,6,12,45 W,Intel UHD Graphics P630,Coffee Lake
2291,1022,Intel Core i3-6320,3900 MHz,,2,4,51 W,Intel HD Graphics 530,Skylake
2268,1022,Intel Core i3-7300,4000 MHz,,2,4,51 W,Intel HD Graphics 630,Kaby Lake
3799,1022,Intel Xeon E3-1535M v6,3100 MHz,4200 MHz,4,8,45 W,Intel HD Graphics P630,Kaby Lake
5382,1022,AMD Ryzen 7 PRO 4750U,1700 MHz,4100 MHz,8,16,15 W,Renoir,Socket FP5
4407,1018,Intel Xeon W-2125,4000 MHz,4500 MHz,4,8,120 W,Skylake,FCLGA2066
2794,1018,Intel Core i7-1060NG7,1200 MHz,3800 MHz,4,8,10 W,Intel Iris Plus,Ice Lake
4041,1017,Intel Core i7-5775C,3300 MHz,3700 MHz,4,8,65 W,Intel Iris Pro Graphics 6200,Broadwell
13673,1014,AMD Ryzen Threadripper 2990WX,3000 MHz,4200 MHz,32,64,250 W,Colfax,sTR4
12703,1013,Intel Xeon W-2191B,2300 MHz,4300 MHz,18,36,Skylake,Socket 1151 LGA,
5698,1012,Intel Xeon E-2146G,3500 MHz,4500 MHz,6,12,80 W,Intel UHD Graphics P630,Coffee Lake
4500,1007,Intel Core i7-8850H,2600 MHz,,6,12,Coffee Lake,FCBGA1440,
3594,1005,Intel Core i5-5675C,3100 MHz,3600 MHz,4,4,65 W,Intel Iris Pro Graphics 6200,Broadwell
4099,1000,Intel Xeon E3-1280 v6,3900 MHz,4200 MHz,4,8,72 W,Kaby Lake,Socket 1151 LGA
3894,998,Intel Xeon E3-1285L v4,3400 MHz,3800 MHz,4,8,65 W,Broadwell,FCLGA1150
3661,995,Intel Core i5-8279U,2400 MHz,4100 MHz,4,8,28 W,Intel Iris Plus Graphics 655,Coffee Lake
10428,993,AMD Ryzen Threadripper 2970WX,3000 MHz,4200 MHz,24,48,250 W,Colfax,sTR4
3087,993,AMD Ryzen 3 2300X,3500 MHz,4000 MHz,4,4,65 W,Pinnacle Ridge,Socket AM4 (1331)
2026,989,Intel Core i3-1005G1,1200 MHz,3400 MHz,2,4,15 W,Intel UHD,Ice Lake
4914,988,AMD Ryzen 5 4600H,3000 MHz,4000 MHz,6,12,45 W,AMD Radeon Vega 6,Renoir
6740,987,AMD Ryzen Threadripper 1900X,3800 MHz,4000 MHz,8,16,180 W,Whitehaven,sTR4
3207,986,Intel Core i5-4690K,3500 MHz,3900 MHz,4,4,88 W,Intel HD Graphics 4600,Haswell
7869,985,Intel Xeon Gold 6134,3200 MHz,3700 MHz,8,16,130 W,Skylake,FCLGA3647
3826,983,Intel Core i7-7820HK,2900 MHz,3900 MHz,4,8,45 W,Intel HD Graphics 630,Kaby Lake
12115,981,AMD EPYC 7542,2900 MHz,3400 MHz,32,64,225 W,Rome,Socket SP3 (4094)
8698,980,AMD Ryzen Threadripper 1920X,3500 MHz,4000 MHz,12,24,180 W,Whitehaven,sTR4
3676,980,Intel Xeon E3-1585L v5,3000 MHz,,4,8,Skylake,Socket 1440 FCBGA,
6875,979,Intel Xeon Gold 6128,3400 MHz,3700 MHz,6,12,115 W,Skylake,FCLGA3647
7631,978,Intel Core i7-6900K,3200 MHz,3700 MHz,8,16,140 W,Broadwell-E,FCLGA2011-3
5767,978,Intel Core i7-6850K,3600 MHz,3800 MHz,6,12,140 W,Broadwell E,FCLGA2011-3
13243,977,Intel Xeon Gold 6254,3100 MHz,4000 MHz,18,36,200 W,Cascade Lake,Socket 3647 LGA
3867,976,Intel Xeon E3-1240 v5,3500 MHz,3900 MHz,4,8,80 W,Skylake,Socket 1151 LGA
3597,975,Intel Xeon E3-1275 v3,3500 MHz,3900 MHz,4,8,84 W,Haswell,Socket 1150 LGA
4463,975,Intel Core i7-8750H,2200 MHz,,6,12,Coffee Lake,FCBGA1440,
3493,975,Intel Xeon E3-1280 v3,3600 MHz,4000 MHz,4,8,82 W,Haswell,Socket 1150 LGA
3746,972,Intel Core i7-6700,3400 MHz,4000 MHz,4,8,65 W,Intel HD Graphics 530,Skylake
4966,972,AMD Ryzen 5 4600HS,3000 MHz,4000 MHz,6,12,35 W,Radeon Vega 6,Renoir
3673,970,Intel Core i7-4770K,3500 MHz,3900 MHz,4,8,84 W,Intel HD Graphics 4600,Haswell
2726,970,Intel Core i5-1030NG7,1100 MHz,3500 MHz,4,8,10 W,Intel Iris Plus,Ice Lake
10364,969,AMD Ryzen Threadripper 1950X,3400 MHz,4000 MHz,16,32,180 W,Whitehaven,sTR4
3614,968,Intel Xeon E3-1271 v3,3600 MHz,4000 MHz,4,8,80 W,"Haswell, Haswell-WS",Socket 1150 LGA
3791,967,Intel Xeon E3-1275 v5,3600 MHz,4000 MHz,4,8,80 W,Intel HD Graphics P530,Skylake
4684,967,AMD Ryzen 7 4700U,2000 MHz,4100 MHz,8,8,15 W,AMD Radeon Vega 7,Renoir
